1000_0.01,210.csv,5,5,5,5,5,5,5,5,5,5
1000_0.01,598.csv,5,5,5,5,5,5,5,5,5,5
1000_0.01,844.csv,5,5,5,5,5,5,5,5,5,5
1000_0.02,190.csv,5,5,5,5,5,5,5,5,5,5
1000_0.02,210.csv,5,5,5,5,5,5,5,5,5,5
1000_0.02,988.csv,5,5,5,5,5,5,5,5,5,5
1000_0.03,333.csv,5,5,5,5,5,5,5,5,5,5
1000_0.03,66.csv,5,5,5,5,5,5,5,5,5,5
1000_0.03,830.csv,5,5,5,5,5,5,5,5,5,5
1000_0.04,162.csv,5,5,5,5,5,5,5,5,5,5
1000_0.04,241.csv,5,5,5,5,5,5,5,5,5,5
1000_0.04,724.csv,5,5,5,5,5,5,5,5,5,5
1000_0.05,353.csv,5,5,5,5,5,5,5,5,5,5
1000_0.05,44.csv,5,5,5,5,5,5,5,5,5,5
1000_0.05,723.csv,5,5,5,5,5,5,5,5,5,5
1000_0.06,141.csv,5,5,5,5,5,5,5,5,5,5
1000_0.06,267.csv,5,5,5,5,5,5,5,5,5,5
1000_0.06,379.csv,5,5,5,5,5,5,5,5,5,5
1100_0.01,260.csv,6,6,6,6,6,6,6,6,6,6
1100_0.01,745.csv,6,6,6,6,6,6,6,6,6,6
1100_0.01,760.csv,6,6,6,6,6,6,6,6,6,6
1100_0.02,409.csv,6,6,6,6,6,6,6,6,6,6
1100_0.02,499.csv,6,6,6,6,6,6,6,6,6,6
1100_0.02,797.csv,6,6,6,6,6,6,6,6,6,6
1100_0.03,382.csv,6,6,6,6,6,6,6,6,6,6
1100_0.03,509.csv,6,6,6,6,6,6,6,6,6,6
1100_0.03,606.csv,6,6,6,6,6,6,6,6,6,6
1100_0.04,373.csv,6,6,6,6,6,6,6,6,6,6
1100_0.04,636.csv,6,6,6,6,6,6,6,6,6,6
1100_0.04,786.csv,6,6,6,6,6,6,6,6,6,6
1100_0.05,163.csv,6,6,6,6,6,6,6,6,6,6
1100_0.05,364.csv,6,6,6,6,6,6,6,6,6,6
1100_0.05,423.csv,6,6,6,6,6,6,6,6,6,6
1100_0.06,351.csv,6,6,6,6,6,6,6,6,6,6
1100_0.06,556.csv,6,6,6,6,6,6,6,6,6,6
1100_0.06,585.csv,6,6,6,6,6,6,6,6,6,6
1100_0.07,152.csv,6,6,6,6,6,6,6,6,6,6
1100_0.07,666.csv,6,6,6,6,6,6,6,6,6,6
1100_0.07,812.csv,6,6,6,6,6,6,6,6,6,6
1100_0.08,254.csv,6,6,6,6,6,6,6,6,6,6
1100_0.08,854.csv,6,6,6,6,6,6,6,6,6,6
1100_0.08,917.csv,6,6,6,6,6,6,6,6,6,6
1200_0.01,375.csv,6,6,6,6,6,6,6,6,6,6
1200_0.01,411.csv,6,6,6,6,6,6,6,6,6,6
1200_0.01,829.csv,6,6,6,6,6,6,6,6,6,6
1200_0.02,240.csv,6,6,6,6,6,6,6,6,6,6
1200_0.02,506.csv,6,6,6,6,6,6,6,6,6,6
1200_0.02,823.csv,6,6,6,6,6,6,6,6,6,6
1200_0.03,258.csv,6,6,6,6,6,6,6,6,6,6
1200_0.03,314.csv,6,6,6,6,6,6,6,6,6,6
1200_0.03,548.csv,6,6,6,6,6,6,6,6,6,6
1200_0.04,309.csv,6,6,6,6,6,6,6,6,6,6
1200_0.04,830.csv,6,6,6,6,6,6,6,6,6,6
1200_0.05,111.csv,6,6,6,6,6,6,6,6,6,6
1200_0.05,318.csv,6,6,6,6,6,6,6,6,6,6
1200_0.05,457.csv,6,6,6,6,6,6,6,6,6,6
1200_0.06,333.csv,6,6,6,6,6,6,6,6,6,6
1200_0.06,453.csv,6,6,6,6,6,6,6,6,6,6
1200_0.06,899.csv,6,6,6,6,6,6,6,6,6,6
1200_0.07,15.csv,6,6,6,6,6,6,6,6,6,6
1200_0.07,326.csv,6,6,6,6,6,6,6,6,6,6
1200_0.07,640.csv,6,6,6,6,6,6,6,6,6,6
1200_0.08,459.csv,6,6,6,6,6,6,6,6,6,6
